 ,Area,Mean,Min,Max,X,Y
1,0,5,5,5,47.833,225.833
2,0,0,0,0,281.833,188.167
3,0,15,15,15,348.500,162.833
4,0,5,5,5,355.500,200.167
5,0,1,1,1,469.167,208.833
6,0,5,5,5,588.167,208.167
7,0,8,8,8,556.167,234.167
8,0,1,1,1,483.500,229.500
9,0,3,3,3,299.500,232.833
10,0,5,5,5,268.500,243.833
11,0,1,1,1,194.167,237.167
12,0,11,11,11,159.500,245.833
13,0,3,3,3,73.500,228.000
14,0,8,8,8,56.000,229.750
